Item_Type,Total_Sales,Avg_Sales,No_of_Items,Avg_Rating
Fruits and Vegetables,178124.08,144.6,1232,3.96
Snack Foods,175433.92,146.2,1200,3.95
Household,135976.53,149.4,910,4.00
Frozen Foods,118558.88,138.5,856,3.97
Dairy,101276.46,148.5,682,3.97
